Prompt Cards,Special,Set,Sheet,Version Comments,,Response Cards,Set,Sheet,Version Comments
,,,,,,Stranger danger,Kids Against Maturity,Stand Alone Games,
,,,,,,Stranger danger,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Stranger danger,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Stranger danger.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Stranger danger.,CAH Base Set,CAH Base Set,
,,,,,,Stranger danger.,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Stranger Danger.,Hilarious!,Stand Alone Games,
,,,,,,strangers with candy,Evil Apples,Stand Alone Games,
,,,,,,Strangling a dog to make a point to the audience.,House of Cards Pack,CAH Packs/Limited Release Packs,
,,,,,,Strangling a hooker with a PT belt.,Charlie Foxtrot,Third Party Commercial,
,,,,,,"strap in, it's about to get bumpy!",That's What She Said Game,Stand Alone Games,
,,,,,,Strapping a stuffed pig dick to the seat of Nidal Hasan's wheelchair.,Disgruntled Decks: Army Edition,Stand Alone Games,
,,,,,,Strategic bankruptcies.,Humanity Hates Trump: Expansion Pack 1,Stand Alone Games,
,,,,,,Stray Cats,Personally Incorrect,Stand Alone Games,
,,,,,,"Stray dogs running wild through base housing, barking at minorities and shitting everywhere!",Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,Streaking down Elmwood.,Blurbs Against Buffalo,Third Party Commercial,
,,,,,,"Streaking the Army-Navy game while wearing ""Free Chelsea Manning"" body paint.",Disgruntled Decks: Army Edition,Stand Alone Games,
,,,,,,Streaking.,Cats Abiding Horribly: Episode III - The SJWs Strike Back,Third Party Commercial,
,,,,,,Strechy pants.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Street meat,Cards About Toronto,Third Party Commercial,
,,,,,,Streetcar short turns,Cards About Toronto,Third Party Commercial,
,,,,,,stretch marks,Skewered And Roasted,Stand Alone Games,
,,,,,,Stretch marks.,Babies vs. Parents,Stand Alone Games,
,,,,,,Stretch marks.,Fun in the Oven,Stand Alone Games,
,,,,,,Striking for the newest rate: Navy Person.,Disgruntled Decks: Navy Edition,Stand Alone Games,
,,,,,,Striking rate to get off the boat.,Disgruntled Decks: Coast Guard/Coastie Edition,Stand Alone Games,
,,,,,,Stringing piano wire across a street right before the Denver Cruisers turn the corner.,The Worst Card Game: Colorado Edition,Third Party Commercial,
,,,,,,Strip Twister.,Carbs of the Huge Manatee: General Expansion 3,Third Party Commercial,
,,,,,,Stripper's Clothes.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
,,,,,,Strippers,Personally Incorrect,Stand Alone Games,
,,,,,,Strippers who work the day shift,Cards About Toronto,Third Party Commercial,
,,,,,,Strippers.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,"Stripping to ""Let It Go""",KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,"Stripping to ""Let it Go""",KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,strips of blubber for infants,Dick,Stand Alone Games,
,,,,,,Stroking the camel.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Strong and decisive loan defaults.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Strong female characters.,CAH Base Set,CAH Base Set,
,,,,,,Strong misleadership skills.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Strongmansplaining.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Struggle snuggles.,Crabs Adjust Humidity: Volume 1,Third Party Commercial,
,,,,,,Struggling to help family members come to terms with their poor election decisions,Cards Against Profanity,Stand Alone Games,
,,,,,,Struggling to swallow a live bat.,Reject Pack 3,CAH Packs,
,,,,,,"Struggling with the fact that without child labor, there'd be no cocoa",JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
,,,,,,Strumming one out.,Words Against Morality: Volume 3,Third Party Commercial,
,,,,,,Strutting like you own the place,Cards Against Profanity,Stand Alone Games,
,,,,,,Stubbing your toe in the middle of the night,Kids Create Absurdity,Stand Alone Games,
,,,,,,Stubby-toed dwarves.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,Studying for 1000 years.,Not Parent Approved Expansion Pack #1,Stand Alone Games,
,,,,,,Stuff and things,Cards for the Masses,Stand Alone Games,
,,,,,,stuff for a good joke,Dick,Stand Alone Games,
,,,,,,Stuffed animals,Kids Create Absurdity,Stand Alone Games,
,,,,,,Stuffed ballot boxes.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,Stuffin' the muffin like a boss.,"Guards Against Insanity, Edition 4",Third Party Commercial,
,,,,,,Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Stuffing a child's face with Fun Dip® until he starts having fun.,CAH: Fourth Expansion,CAH Expansions,
,,,,,,Stuffing my balls into a Sega Genesis and pressing the power button.,Geek Pack,CAH Packs/Commercial Packs,
,,,,,,Stuffing my balls into a Sega Genesis and pressing the power button.,PAX East 2014,CAH Packs/Con Exclusives,
,,,,,,Stuffing the ballot box with pepperoni.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Stunt doubles.,CAH Base Set,CAH Base Set,
,,,,,,Stupid Cosmo Sex Tips.,Carbs of the Huge Manatee: General Expansion 1,Third Party Commercial,
,,,,,,Stupid Flanders.,Words Against Morality: Volume 1,Third Party Commercial,
,,,,,,Stupid French accents and the people attached to them.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,stupid fucking rednecks,Evil Apples,Stand Alone Games,
,,,,,,Stupid.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Stupid.,CAH: Fifth Expansion,CAH Expansions,
,,,,,,Sub drop.*,Carbs of the Huge Manatee - Kink Expansion 1,Third Party Commercial,
,,,,,,Sub guys wearing short shorts and nipple clamps.,Disgruntled Decks: Navy Edition,Stand Alone Games,
,,,,,,Sub-Saharan cannibals.,Cats Abiding Horribly: Episode I - The Dirty Goblin,Third Party Commercial,
,,,,,,Subduing a grizzly bear and making her your wife.,CAH : Second Expansion,CAH Expansions,
,,,,,,Subduing a grizzly bear and making her your wife.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Subduing an officer using only the gentle touch of feminine hands.,Disgruntled Decks: Air Force Edition,Stand Alone Games,
,,,,,,Subliminal messages,Conspiracy Theory,Stand Alone Games,
,,,,,,Subprime real-estate instruction.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Subsisting on tiny pizzas.,Retail Product Pack,CAH Packs/Limited Release Packs,
,,,,,,"substantial, symmetrically globular, and indestructable dumplings",Dick,Stand Alone Games,
,,,,,,Substitute teachers.,CAH Base Set,CAH Base Set,
,,,,,,Substituting sweet potato fries for $2.,Absurd Box Expansion,CAH Expansions,
,,,,,,Subtle dehumanization.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Third Party Commercial,
,,,,,,Suburban heroin addicts.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Suburbanites.,Carps & Angsty Manatee - Volume 1,Third Party Commercial,
,,,,,,"Subways!
Subways!
Subways!",Cards About Toronto,Third Party Commercial,
,,,,,,Such a big boy.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Such a big boy.,CAH: Sixth Expansion,CAH Expansions,
,,,,,,Such a nasty group of people.,Bad Hombres Against Fake News Pack 1,Third Party Commercial,
,,,,,,such an excellent listener!,Dick,Stand Alone Games,
,,,,,,such bugs and goblins in my life,Bards Dispense Profanity,Stand Alone Games,
,,,,,,Sucker-punching an unruly chihuahua.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Sucking a dick so small you have to fake choke and gag just to be nice.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
,,,,,,Sucking a flaccid penis for 20 minutes.,CAH: College Pack,CAH Packs,
,,,,,,Sucking all the milk out of a yak.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Sucking all the milk out of a yak.,CAH: Sixth Expansion,CAH Expansions,
,,,,,,Sucking at something,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,Sucking dick for money.,Cakes Athirst Hilarity Volume 1,Third Party Commercial,
,,,,,,Sucking down thousands of pounds of krill every day.,Food Pack,CAH Packs/Commercial Packs,
,,,,,,Sucking down thousands of pounds of krill every day.,PAX Prime 2015 Food Pack B (Coconut),CAH Packs/Con Exclusives,
,,,,,,Sucking each other’s penises for hours on end.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,"Sucking her ass so hard, her face caves in.","Guards Against Insanity, Edition 5",Third Party Commercial,
,,,,,,Sucking her juices off your best mate's cock.,"Guards Against Insanity, Edition 5",Third Party Commercial,
,,,,,,sucking his own paws,Dick,Stand Alone Games,
,,,,,,Sucking menstrual fluid out with a straw.,Cocks Abreast Hostility: Cock Pack One: Just The Tip,Third Party Commercial,
,,,,,,Sucking my thumb.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Sucking on a dirty thumb,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Sucking on an elf's surprisingly large candy cane.,"Crows Adopt Vulgarity, Vol. 3",Third Party Commercial,
,,,,,,Sucking on an exhaust pipe.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Sucking on titties like you're trying to get the cancer out.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
,,,,,,Sucking Santa's cock.,Carps & Angsty Manatee - Volume 2,Third Party Commercial,
,,,,,,Sucking snot out of the baby's nose.,Fun in the Oven,Stand Alone Games,
,,,,,,Sucking some dicks to not get drafted.,CAH Base Set,CAH Base Set,
,,,,,,Sucking the caviar straight out of a fish's pussy.,Absurd Box Expansion,CAH Expansions,
,,,,,,Sucking the president's dick.,90s Nostalgia Pack,CAH Packs/Commercial Packs,
,,,,,,Sucking up to donors., 2016 Election Game ,Stand Alone Games,
,,,,,,Sucking Wall Street's dick for 30 years.,"Humanity Hates Trump: Expansion Pack 2 - Humanity Hates Hillary, Too",Stand Alone Games,
,,,,,,sucking your own dick,Evil Apples,Stand Alone Games,
,,,,,,Sudden and unwanted slam poetry.,CAH: Green Box Expansion,CAH Expansions,
,,,,,,Sudden penis loss.,CAH: Blue Box Expansion,CAH Expansions,
,,,,,,Sudden penis loss.,CAH: Sixth Expansion,CAH Expansions,
,,,,,,Sudden Poop Explosion Disease.,CAH Base Set,CAH Base Set,
,,,,,,Sudden Poop Explosion Disease.,CAH: First Expansion,CAH Expansions,
,,,,,,Sudden Poop Explosion Disease.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Suddenly feeling really sad for 40 years.,Absurd Box Expansion,CAH Expansions,
,,,,,,Suddenly remembering that the Holocaust happened.,Jew Pack/Chosen People Pack,CAH Packs/Holiday Packs,
,,,,,,Sudoku,Cards Against Profanity,Stand Alone Games,
,,,,,,Sudoku® puzzles with no solutions.,WTF Did You Say?!?,Stand Alone Games,
,,,,,,Sugar and spice and everything nice.,Crabs Adjust Humidity: Volume 5,Third Party Commercial,
,,,,,,Sugar and spice and everything nice.,Crazy & Horrible Rabbit - Vol. 1,Third Party Commercial,
,,,,,,Sugar Bear™,Kids Against Maturity,Stand Alone Games,
,,,,,,Sugar Daddies,Personally Incorrect,Stand Alone Games,
,,,,,,Sugar madness.,CAH: Fourth Expansion,CAH Expansions,
,,,,,,"Sugar, sugar, sugar!",Not Parent Approved,Stand Alone Games,
,,,,,,Sugar. Lots and lots of sugar.,Cards Against Profanity,Stand Alone Games,
,,,,,,suicidal tendencies,Skewered And Roasted,Stand Alone Games,
,,,,,,Suicidal thoughts.,CAH Base Set,CAH Base Set,
,,,,,,Suicidal thoughts.,CAH: First Expansion,CAH Expansions,
,,,,,,Suicidal thoughts.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Suicide Awareness Training.,Charlie Foxtrot,Third Party Commercial,
,,,,,,Suicide bombers,Conspiracy Theory,Stand Alone Games,
,,,,,,Suicide bombers.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,Suicide Bombings,Personally Incorrect,Stand Alone Games,
,,,,,,Suicide photobombers.,"Crows Adopt Vulgarity, Vol. 4",Third Party Commercial,
,,,,,,Suing Hillary Clinton for being a woman.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,Suing the Constitution.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Suitcase nukes,Conspiracy Theory,Stand Alone Games,
,,,,,,Sultry Nkosazana Dlamini-Zuma.,Hilarious!,Stand Alone Games,
,,,,,,Summer school,Kids Create Absurdity,Stand Alone Games,
,,,,,,Summer School II: Still Can’t Read.,The Worst Card Game: 2016 National Edition,Third Party Commercial,
,,,,,,Summoning Harold Holt from the sea in a time of great need.,CAH Base Set,CAH Base Set,
,,,,,,Sumo wrestler thongs.,Not Parent Approved Expansion Pack #1,Stand Alone Games,
,,,,,,Sun Gods 'til your dick skinners fall off.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
,,,,,,Sunbathing your belly to prevent jaundice in the baby.,Fun in the Oven,Stand Alone Games,
,,,,,,Sunday,Kiwis Against Morality,Stand Alone Games,
,,,,,,Sunday hangovers,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Sunday hangovers,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Sunny D! Alright!,90s Nostalgia Pack,CAH Packs/Commercial Packs,
,,,,,,Sunshine and rainbows.,CAH Base Set,CAH Base Set,
,,,,,,"Sunshine, pretty flowers and rainbows.",Hilarious!,Stand Alone Games,
,,,,,,Super Blunts,Personally Incorrect,Stand Alone Games,
,,,,,,Super Mario™ fart,Kids Against Maturity,Stand Alone Games,
,,,,,,Super self-confidence,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Super self-confidence.,Hilarious!,Stand Alone Games,
,,,,,,Super snoozy school assemblies.,Not Parent Approved,Stand Alone Games,
,,,,,,"Super tight, camel-toe yoga pants.",Hilarious!,Stand Alone Games,
,,,,,,Super yoga.,Reject Pack,CAH Packs/Limited Release Packs,
,,,,,,super-dainty Kate,Bards Dispense Profanity,Stand Alone Games,
,,,,,,Super-rich pansexual cowboys.,Carps & Angsty Manatee - Texas Edition,Third Party Commercial,
,,,,,,Super-spicy salsa,The Game Without Decency,Stand Alone Games,
,,,,,,Superheroes,Conspiracy Theory,Stand Alone Games,
,,,,,,Superman's™ skid marks,Kids Against Maturity,Stand Alone Games,
,,,,,,Supervillians,Conspiracy Theory,Stand Alone Games,
,,,,,,Suplexing a jabroni in the PAX Rumble.,PAX Prime 2014 Custom Printed Cards,CAH Packs/Con Exclusives,
,,,,,,Suppositories,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,Suppressing the gag reflex.,"Guards Against Insanity, Edition 2",Third Party Commercial,
,,,,,,Suppressive fire.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
,,,,,,Supreme Court justices who used to be into autoerotic asphyxiation.,Cocks Abreast Hostility - Cock Pack Two: Fowls Deep,Third Party Commercial,
,,,,,,Surplus Russian vodka.,Trumped UpCards: Astonishlingly Excellent Wealthcare! Expansion Pack,Stand Alone Games,
,,,,,,Surprise Anal.,"Humanity Hates the Holidays ""Love"" Edition",Stand Alone Games,
,,,,,,Surprise Cumshot,Personally Incorrect,Stand Alone Games,
,,,,,,Surprise Funeral.,Voter's Choice: The Fourth Expansion,Third Party Commercial,
,,,,,,Surprise lactation,KinderPerfect (Commercial Set),Third Party Commercial,
,,,,,,Surprise Sex,Personally Incorrect,Stand Alone Games,
,,,,,,Surprise sex!,CAH Base Set,CAH Base Set,
,,,,,,Surprise sex!,Cards Against/For South Africa,Stand Alone Games,
,,,,,,Surprise sex!,Hilarious!,Stand Alone Games,
,,,,,,Surrogate mom,KinderPerfect: A Timeout For Parents (Kickstarter Set),Third Party Commercial,
,,,,,,Surviving a sniper round to the dome.,Disgruntled Decks: Marine Corps/Jarhead Edition,Stand Alone Games,
,,,,,,Survivor's guilt.,CAH : Second Expansion,CAH Expansions,
,,,,,,Survivor's guilt.,CAH: Red Box Expansion,CAH Expansions,
,,,,,,"Susan, that bitch.",Crabs Adjust Humidity: Volume 3,Third Party Commercial,
,,,,,,Sushi,Conspiracy Theory,Stand Alone Games,
,,,,,,Sushi in a landlocked country,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
,,,,,,Sushi.,Fun in the Oven,Stand Alone Games,
,,,,,,Suspected journalists.,Trumped UpCards: The World's Biggest Deck*,Stand Alone Games,
,,,,,,Suspicious white powder.,Humanity Hates Trump: Base Set,Stand Alone Games,
,,,,,,Sustainability,JadedAid: A Card Game to Save Humanitarians,Third Party Commercial,
,,,,,,Swabbies and shipmates.,Disgruntled Decks: Navy Edition,Stand Alone Games,
,,,,,,Swaddle,Babies vs. Parents,Stand Alone Games,
,,,,,,Swaddling.,Fun in the Oven,Stand Alone Games,
,,,,,,Swag,Kids Create Absurdity,Stand Alone Games,
,,,,,,Swag.,CAH Base Set,CAH Base Set,
,,,,,,Swallowing a cue ball.,Crabs Adjust Humidity: Volume 2,Third Party Commercial,
,,,,,,Swallowing a grown man whole.,Cats Abiding Horribly: Episode I - The Dirty Goblin,Third Party Commercial,
,,,,,,swallowing a tapeworm,Evil Apples,Stand Alone Games,
,,,,,,Swallowing.,Cards and Punishment Vol. Two,Third Party Commercial,
,,,,,,Swallowing.,"Guards Against Insanity, Edition 2",Third Party Commercial,
,,,,,,Swants.,Knitters Against Swatches First Edition,Third Party Commercial,
,,,,,,Swapping bodies with mom for a day.,2013 Holiday Pack,CAH Packs/Holiday Packs,
,,,,,,SWAT teams,Conspiracy Theory,Stand Alone Games,
,,,,,,Swearing in sign language,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,"swearing occasionally, by way of assuaging the general friction",Dick,Stand Alone Games,
,,,,,,Sweat soaked armpit hair.,Cakes Athirst Hilarity Volume 3,Third Party Commercial,
,,,,,,Sweater puppies.,Crabs Adjust Humidity: Volume 6,Third Party Commercial,
,,,,,,Sweatin' to the Oldies.,"Bad Campaign, The Presidential Party Game!",Stand Alone Games,
,,,,,,Sweating it out,Rotten Apples: The Tasteless Adult Party Game,Stand Alone Games,
,,,,,,Sweating it out on the streets of a runaway American Dream.,Reject Pack 2,CAH Packs/Limited Release Packs,
